canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000020,Darrang,Assam,1951,1981.0,False,ANCHOR,3,1951,1971,8919.336062168266,8919.336062168266,0.0,8919.336062168266,8919.336062168266,8919.336062168266,,,,,,
IND-000519,Darrang,Assam,1981,2011.0,False,NEW,3,1981,2001,3655.9736335853536,3655.969523090336,0.004110495017357607,,,,3655.9736335853536,3655.969523090336,3655.969523090336,,,
IND-001071,Darrang,Assam,2011,,True,NEW,3,2011,2025,1583.6211251757074,1580.3413861579024,3.2797390178050136,,,,,,,1580.3413861579024,1583.6211251757074,1583.4017044182983
IND-000522,Dhemaji,Assam,1981,1991.0,False,NEW,1,1981,1981,3321.292031652137,3321.292031652137,0.0,,,,3321.292031652137,,,,,
IND-000641,Dhemaji,Assam,1991,2001.0,False,NEW,1,1991,1991,2975.1737963544847,2975.1737963544847,0.0,,,,,2975.1737963544847,,,,
IND-000805,Dhemaji,Assam,2001,,True,NEW,4,2001,2025,2597.752272148744,2478.9936006188805,118.75867152986348,,,,,,2597.752272148744,2577.94219535651,2482.799819440292,2478.9936006188805
IND-000512,Dhubri,Assam,1981,2011.0,False,NEW,3,1981,2001,2656.4206311797952,2656.3780734230504,0.0425577567448272,,,,2656.3780734230504,2656.4206311797952,2656.4206311797952,,,
IND-001061,Dhubri,Assam,2011,2021.0,False,NEW,1,2011,2011,2163.3643774590796,2163.3643774590796,0.0,,,,,,,2163.3643774590796,,
IND-001196,Dhubri,Assam,2021,,True,NEW,2,2021,2025,1659.3985508054043,1556.8195508808506,102.57899992455373,,,,,,,,1556.8195508808506,1659.3985508054043
IND-000528,Dibrugarh,Assam,1981,,True,NEW,6,1981,2025,3387.1400086496506,3370.7266945445826,16.41331410506791,,,,3387.1400086496506,3387.135592155059,3387.135592155059,3370.7266945445826,3379.440020674772,3380.0813148392376
IND-000036,Garo Hills,Assam,1951,1981.0,False,ANCHOR,3,1951,1971,7959.739414241198,7959.739414241198,0.0,7959.739414241198,7959.739414241198,7959.739414241198,,,,,,
IND-000018,Goalpara,Assam,1951,1981.0,False,ANCHOR,3,1951,1971,8084.735880525232,8084.735880525232,0.0,8084.735880525232,8084.735880525232,8084.735880525232,,,,,,
