canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000177,Nagpur,Madhya Pradesh,1951,,True,ANCHOR,9,1951,2025,9897.315,9849.469,47.846,9849.469,9849.469,9849.469,9849.474,9849.473,9849.473,9894.698,9892.348,9897.315
IND-000401,Narsinghpur,Madhya Pradesh,1961,,True,NEW,8,1961,2025,5139.289,5134.187,5.102,,5139.289,5139.289,5139.259,5139.289,5139.289,5134.187,5135.526,5135.578
IND-000868,Neemuch,Madhya Pradesh,2001,,True,NEW,4,2001,2025,4450.863,4287.262,163.601,,,,,,4304.425,4450.863,4308.738,4287.262
IND-000187,Nimar,Madhya Pradesh,1951,2011.0,False,ANCHOR,6,1951,2001,10740.886,10740.817,0.069,10740.827,10740.827,10740.827,10740.886,10740.817,10740.817,,,
IND-001236,Niwari,Madhya Pradesh,2021,,True,NEW,2,2021,2025,1322.283,1317.319,4.964,,,,,,,,1317.319,1322.283
IND-000194,Raigarh,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,13059.797,13059.761,0.036,13059.797,13059.797,13059.797,13059.761,13059.797,,,,
IND-000189,Raipur,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,21584.991,21584.973,0.018,21584.973,21584.973,21584.973,21584.988,21584.991,,,,
IND-000457,Rajnandgaon,Madhya Pradesh,1981,2001.0,False,NEW,2,1981,1991,12264.792,11142.427,1122.365,,,,12264.792,11142.427,,,,
IND-000184,Sagar,Madhya Pradesh,1951,1961.0,False,ANCHOR,1,1951,1951,17562.357,17562.357,0.0,17562.357,,,,,,,,
IND-000399,Sagar,Madhya Pradesh,1961,,True,NEW,8,1961,2025,10467.139,10258.328,208.811,,10258.351,10258.351,10258.359,10258.328,10258.328,10467.139,10269.069,10267.716
IND-000456,Sehore,Madhya Pradesh,1981,,True,NEW,6,1981,2025,6568.85,6544.134,24.716,,,,6561.038,6560.993,6560.993,6544.134,6568.85,6568.553
IND-000403,Seoni,Madhya Pradesh,1961,,True,NEW,8,1961,2025,8774.941,8745.524,29.417,,8745.525,8745.525,8745.524,8745.564,8745.564,8774.941,8761.081,8760.597
IND-000867,Shahdol,Madhya Pradesh,2001,2011.0,False,NEW,1,2001,2001,9455.754,9455.754,0.0,,,,,,9455.754,,,
IND-000946,Shahdol,Madhya Pradesh,2011,,True,NEW,3,2011,2025,5693.088,5679.187,13.901,,,,,,,5693.088,5679.187,5680.676
IND-001233,Shajapur,Madhya Pradesh,2021,,True,NEW,2,2021,2025,3462.098,3250.647,211.452,,,,,,,,3250.647,3462.098
IND-000862,Sheopur,Madhya Pradesh,2001,,True,NEW,4,2001,2025,6663.473,6607.216,56.257,,,,,,6616.826,6663.473,6607.216,6607.369
IND-000948,Sidhi,Madhya Pradesh,2011,,True,NEW,3,2011,2025,4775.73,4674.852,100.879,,,,,,,4674.852,4775.396,4775.73
IND-000949,Singrauli,Madhya Pradesh,2011,,True,NEW,3,2011,2025,5766.052,5744.256,21.796,,,,,,,5764.658,5744.256,5766.052
IND-000193,Surguja,Madhya Pradesh,1951,2001.0,False,ANCHOR,5,1951,1991,22315.369,22315.349,0.02,22315.349,22315.349,22315.349,22315.369,22315.364,,,,
IND-001232,Tikamgarh,Madhya Pradesh,2021,,True,NEW,2,2021,2025,3723.092,3717.349,5.743,,,,,,,,3717.349,3723.092
IND-000866,Umaria,Madhya Pradesh,2001,,True,NEW,4,2001,2025,4699.693,4566.571,133.122,,,,,,4584.063,4699.693,4566.571,4578.33
IND-000178,Wardha,Madhya Pradesh,1951,,True,ANCHOR,9,1951,2025,6311.503,6307.571,3.932,6311.503,6311.503,6311.503,6311.488,6311.499,6311.499,6307.743,6308.768,6307.571
IND-000870,West Nimar,Madhya Pradesh,2001,,True,NEW,4,2001,2025,8243.706,8021.038,222.669,,,,,,8131.195,8243.706,8021.038,8026.52
IND-000196,Yeotmal,Madhya Pradesh,1951,,True,ANCHOR,9,1951,2025,13595.057,13584.149,10.908,13585.448,13585.448,13585.448,13585.254,13585.381,13585.381,13595.057,13584.149,13584.982
IND-000896,Akola,Maharashtra,2001,,True,NEW,4,2001,2025,5557.947,5429.009,128.938,,,,,,5557.947,5444.895,5429.009,5440.138
IND-000646,Aurangabad,Maharashtra,1991,,True,NEW,5,1991,2025,10173.051,10062.671,110.379,,,,,10062.671,10062.671,10173.051,10167.288,10122.192
IND-000898,Bhandara,Maharashtra,2001,,True,NEW,4,2001,2025,4154.406,4023.677,130.729,,,,,,4154.406,4079.682,4023.677,4137.378
IND-000647,Bid,Maharashtra,1991,2001.0,False,NEW,1,1991,1991,12178.66,12178.66,0.0,,,,,12178.66,,,,
