canonical_key,display_name,state,census_year,area_km2,fill_method,fill_source_ck,fill_confidence
IND-001139,Kurung Kumey,Arunachal Pradesh,1951,4083.245498,LINEAGE_BACKFILL,IND-000489|IND-001032|IND-001036,0.2401
IND-001139,Kurung Kumey,Arunachal Pradesh,1961,4083.314747,LINEAGE_BACKFILL,IND-000489|IND-001032|IND-001036,0.343
IND-001139,Kurung Kumey,Arunachal Pradesh,1971,4083.314747,LINEAGE_BACKFILL,IND-000489|IND-001032|IND-001036,0.343
IND-001139,Kurung Kumey,Arunachal Pradesh,1981,4083.315348,LINEAGE_BACKFILL,IND-000489|IND-001032|IND-001036,0.343
IND-001139,Kurung Kumey,Arunachal Pradesh,1991,4083.334903,LINEAGE_BACKFILL,IND-000489|IND-001032|IND-001036,0.343
IND-001139,Kurung Kumey,Arunachal Pradesh,2001,4083.363275,LINEAGE_BACKFILL,IND-000489|IND-001032|IND-001036,0.49
IND-001139,Kurung Kumey,Arunachal Pradesh,2011,4293.600278,LINEAGE_BACKFILL,IND-000489|IND-001032|IND-001036,0.7
IND-001139,Kurung Kumey,Arunachal Pradesh,2021,4300.839635252645,DIRECT,IND-001139,1.0
IND-001139,Kurung Kumey,Arunachal Pradesh,2025,4444.151585521558,DIRECT,IND-001139,1.0
IND-001150,Lepa Rada,Arunachal Pradesh,1951,799.42043,LINEAGE_BACKFILL,IND-001033|IND-001034,0.1681
IND-001150,Lepa Rada,Arunachal Pradesh,1961,799.424049,LINEAGE_BACKFILL,IND-001033|IND-001034,0.1681
IND-001150,Lepa Rada,Arunachal Pradesh,1971,799.424049,LINEAGE_BACKFILL,IND-001033|IND-001034,0.1681
IND-001150,Lepa Rada,Arunachal Pradesh,1981,799.438207,LINEAGE_BACKFILL,IND-001033|IND-001034,0.2401
IND-001150,Lepa Rada,Arunachal Pradesh,1991,799.436246,LINEAGE_BACKFILL,IND-001033|IND-001034,0.343
IND-001150,Lepa Rada,Arunachal Pradesh,2001,799.438662,LINEAGE_BACKFILL,IND-001033|IND-001034,0.49
IND-001150,Lepa Rada,Arunachal Pradesh,2011,836.644343,LINEAGE_BACKFILL,IND-001033|IND-001034,0.7
IND-001150,Lepa Rada,Arunachal Pradesh,2021,836.8119782633613,DIRECT,IND-001150,1.0
IND-001150,Lepa Rada,Arunachal Pradesh,2025,766.6587708036816,DIRECT,IND-001150,1.0
IND-001355,Lohit,Arunachal Pradesh,1951,3019.545372,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.2401
IND-001355,Lohit,Arunachal Pradesh,1961,3019.545372,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.2401
IND-001355,Lohit,Arunachal Pradesh,1971,3019.545372,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.2401
IND-001355,Lohit,Arunachal Pradesh,1981,3019.574979,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.2401
IND-001355,Lohit,Arunachal Pradesh,1991,3019.57506,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.343
IND-001355,Lohit,Arunachal Pradesh,2001,3019.57506,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.343
IND-001355,Lohit,Arunachal Pradesh,2011,3028.373724,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.49
IND-001355,Lohit,Arunachal Pradesh,2021,3054.374489,LINEAGE_BACKFILL,IND-000629|IND-001038|IND-001040|IND-001138|IND-001143,0.7
IND-001355,Lohit,Arunachal Pradesh,2025,3054.541550425716,DIRECT,IND-001355,1.0
IND-001144,Longding,Arunachal Pradesh,1951,998.451725,LINEAGE_BACKFILL,IND-000477|IND-000631,0.49
IND-001144,Longding,Arunachal Pradesh,1961,998.451725,LINEAGE_BACKFILL,IND-000477|IND-000631,0.49
IND-001144,Longding,Arunachal Pradesh,1971,998.451725,LINEAGE_BACKFILL,IND-000477|IND-000631,0.49
IND-001144,Longding,Arunachal Pradesh,1981,998.45222,LINEAGE_BACKFILL,IND-000477|IND-000631,0.665
IND-001144,Longding,Arunachal Pradesh,1991,998.494981,LINEAGE_BACKFILL,IND-000477|IND-000631,0.7
IND-001144,Longding,Arunachal Pradesh,2001,998.494981,LINEAGE_BACKFILL,IND-000477|IND-000631,0.7
IND-001144,Longding,Arunachal Pradesh,2011,929.235609,LINEAGE_BACKFILL,IND-000477|IND-000631,0.7
IND-001144,Longding,Arunachal Pradesh,2021,936.9571277842724,DIRECT,IND-001144,1.0
IND-001144,Longding,Arunachal Pradesh,2025,936.0791045925438,DIRECT,IND-001144,1.0
IND-001038,Lower Dibang Valley,Arunachal Pradesh,1951,3676.471553,LINEAGE_BACKFILL,IND-000493|IND-000494,0.49
IND-001038,Lower Dibang Valley,Arunachal Pradesh,1961,3676.471553,LINEAGE_BACKFILL,IND-000493|IND-000494,0.49
IND-001038,Lower Dibang Valley,Arunachal Pradesh,1971,3676.471553,LINEAGE_BACKFILL,IND-000493|IND-000494,0.49
IND-001038,Lower Dibang Valley,Arunachal Pradesh,1981,3676.500103,LINEAGE_BACKFILL,IND-000493|IND-000494,0.7
IND-001038,Lower Dibang Valley,Arunachal Pradesh,1991,3676.490346,LINEAGE_BACKFILL,IND-000493|IND-000494,0.7
